Frequency (Hz)	Level (dB)
11541.796875	-68.009216
11584.863281	-67.788704
11627.929688	-68.699142
11670.996094	-69.259361
11714.062500	-70.072128
11757.128906	-70.320572
11800.195313	-71.543831
11843.261719	-71.064995
11886.328125	-70.928642
11929.394531	-72.392853
11972.460938	-72.751556
12015.527344	-72.007492
12058.593750	-72.004288
12101.660156	-71.752258
12144.726563	-71.353218
12187.792969	-71.525887
12230.859375	-70.713943
12273.925781	-70.513939
12316.992188	-70.286095
12360.058594	-70.381042
12403.125000	-69.706375
12446.191406	-69.880531
12489.257813	-71.557777
12532.324219	-72.248077
12575.390625	-72.048470
12618.457031	-71.750221
12661.523438	-72.038910
12704.589844	-72.242874
12747.656250	-71.527336
12790.722656	-71.495865
12833.789063	-71.412010
12876.855469	-70.653770
12919.921875	-70.355583
12962.988281	-70.966446
13006.054688	-71.320435
13049.121094	-71.812836
13092.187500	-72.043930
13135.253906	-71.103668
13178.320313	-71.474281
13221.386719	-72.093224
13264.453125	-72.469315
13307.519531	-72.445488
13350.585938	-71.988281
13393.652344	-71.210068
13436.718750	-71.252045
13479.785156	-71.048172
13522.851563	-71.901802
13565.917969	-72.302170
13608.984375	-72.185707
13652.050781	-72.156349
13695.117188	-72.771545
13738.183594	-72.796509
13781.250000	-72.877563
13824.316406	-72.242760
13867.382813	-72.186966
13910.449219	-72.681633
13953.515625	-72.807541
13996.582031	-73.205940
14039.648438	-73.356621
14082.714844	-73.293068
14125.781250	-73.618820
14168.847656	-73.960007
14211.914063	-73.714867
14254.980469	-73.592155
14298.046875	-73.541885
14341.113281	-73.234421
14384.179688	-73.219711
14427.246094	-73.402283
14470.312500	-73.272263
14513.378906	-73.443855
14556.445313	-73.307816
14599.511719	-73.302917
14642.578125	-73.854744
14685.644531	-73.930359
14728.710938	-73.878990
14771.777344	-73.811440
14814.843750	-73.782173
14857.910156	-73.869446
14900.976563	-73.611244
14944.042969	-73.628021
14987.109375	-73.821846
15030.175781	-73.571815
15073.242188	-73.887634
15116.308594	-74.016838
15159.375000	-73.973160
15202.441406	-73.992485
15245.507813	-74.178558
15288.574219	-73.995972
15331.640625	-73.755386
15374.707031	-73.923103
15417.773438	-74.130058
15460.839844	-74.153282
15503.906250	-73.582237
15546.972656	-73.709297
15590.039063	-74.061928
15633.105469	-73.686028
15676.171875	-73.625755
15719.238281	-73.379532
15762.304688	-73.393349
15805.371094	-74.050201
15848.437500	-74.058632
15891.503906	-73.669106
15934.570313	-73.450790
15977.636719	-73.597466
16020.703125	-73.729904
16063.769531	-73.559105
16106.835938	-73.913445
16149.902344	-74.039711
16192.968750	-73.901131
16236.035156	-73.814957
16279.101563	-73.711388
16322.167969	-73.764503
16365.234375	-73.685951
16408.300781	-73.669022
16451.367188	-73.705414
16494.433594	-73.697327
16537.500000	-73.571281
16580.566406	-73.639877
16623.632813	-74.191811
16666.699219	-74.113708
16709.765625	-73.849640
16752.832031	-73.879906
16795.898438	-73.600777
16838.964844	-73.521500
16882.031250	-73.835701
16925.097656	-74.016861
16968.164063	-73.630547
17011.230469	-73.602745
17054.296875	-73.699898
17097.363281	-73.290993
17140.429688	-73.108055
17183.496094	-73.166557
17226.562500	-73.458038
17269.628906	-73.363007
17312.695313	-73.066696
17355.761719	-73.423538
17398.828125	-73.983276
17441.894531	-73.935104
17484.960938	-73.438835
17528.027344	-73.495232
17571.093750	-73.795845
17614.160156	-74.045761
17657.226563	-73.809418
17700.292969	-73.516068
17743.359375	-73.381424
17786.425781	-73.348946
17829.492188	-73.176949
17872.558594	-73.394295
17915.625000	-73.341721
17958.691406	-73.824516
18001.757813	-74.097878
18044.824219	-73.805984
18087.890625	-73.402580
18130.957031	-73.152603
18174.023438	-73.621460
18217.089844	-73.959343
18260.156250	-73.258919
18303.222656	-73.500374
18346.289063	-73.307518
18389.355469	-73.516510
18432.421875	-73.720940
18475.488281	-73.167305
18518.554688	-73.135597
18561.621094	-73.464073
18604.687500	-73.118111
18647.753906	-72.807388
18690.820313	-72.927246
18733.886719	-72.903679
18776.953125	-73.099243
18820.019531	-73.185532
18863.085938	-72.964828
18906.152344	-72.943893
18949.218750	-73.206207
18992.285156	-73.133179
19035.351563	-73.139824
19078.417969	-73.182579
19121.484375	-72.923851
19164.550781	-72.772675
19207.617188	-73.119186
19250.683594	-73.069771
19293.750000	-73.098915
19336.816406	-73.155113
19379.882813	-73.253471
19422.949219	-73.097061
19466.015625	-72.486420
19509.082031	-73.171028
19552.148438	-73.572105
19595.214844	-73.008484
19638.281250	-72.977837
19681.347656	-73.094070
19724.414063	-73.011497
19767.480469	-73.514824
19810.546875	-73.427666
19853.613281	-73.286949
19896.679688	-73.313881
19939.746094	-73.650101
19982.812500	-73.518333
20025.878906	-73.419128
20068.945313	-73.420097
20112.011719	-73.469841
20155.078125	-73.813293
20198.144531	-74.046806
20241.210938	-74.523743
20284.277344	-73.914238
20327.343750	-73.841377
20370.410156	-74.164612
20413.476563	-74.342903
20456.542969	-74.652504
20499.609375	-74.559860
20542.675781	-74.159531
20585.742188	-74.639015
20628.808594	-74.935974
20671.875000	-75.154617
20714.941406	-75.290176
20758.007813	-76.254051
20801.074219	-76.582848
20844.140625	-76.378883
20887.207031	-76.710342
20930.273438	-76.825394
20973.339844	-77.031342
21016.406250	-77.384964
21059.472656	-77.728844
21102.539063	-77.939331
21145.605469	-78.217346
21188.671875	-78.963127
21231.738281	-79.388382
21274.804688	-79.670792
21317.871094	-80.130829
21360.937500	-80.849953
21404.003906	-81.451775
21447.070313	-81.944725
21490.136719	-82.623619
21533.203125	-83.474350
21576.269531	-83.563744
21619.335938	-84.074455
21662.402344	-84.775757
21705.468750	-85.220169
21748.535156	-86.132050
21791.601563	-86.702324
21834.667969	-87.010674
21877.734375	-87.472336
21920.800781	-88.621040
21963.867188	-88.766129
22006.933594	-89.186150
