Frequency (Hz)	Level (dB)
12446.191406	-55.028099
12489.257813	-55.549404
12532.324219	-55.874882
12575.390625	-56.246330
12618.457031	-57.200893
12661.523438	-57.684830
12704.589844	-58.222759
12747.656250	-58.270893
12790.722656	-58.122593
12833.789063	-58.698750
12876.855469	-59.042126
12919.921875	-59.589386
12962.988281	-60.997532
13006.054688	-61.692608
13049.121094	-62.124962
13092.187500	-63.274265
13135.253906	-64.118347
13178.320313	-64.664612
13221.386719	-63.255688
13264.453125	-62.293930
13307.519531	-61.603947
13350.585938	-60.982594
13393.652344	-61.592712
13436.718750	-63.703720
13479.785156	-65.295372
13522.851563	-65.236900
13565.917969	-65.289795
13608.984375	-65.948326
13652.050781	-65.805046
13695.117188	-65.451904
13738.183594	-65.360191
13781.250000	-65.573524
13824.316406	-65.588150
13867.382813	-65.266472
13910.449219	-65.295258
13953.515625	-66.119942
13996.582031	-66.742210
14039.648438	-66.532318
14082.714844	-66.624260
14125.781250	-67.471886
14168.847656	-68.223274
14211.914063	-69.063789
14254.980469	-69.497543
14298.046875	-69.342972
14341.113281	-69.161530
14384.179688	-68.893211
14427.246094	-68.056694
14470.312500	-67.777420
14513.378906	-67.812424
14556.445313	-67.443718
14599.511719	-68.287094
14642.578125	-68.670418
14685.644531	-68.515808
14728.710938	-68.968102
14771.777344	-68.339394
14814.843750	-68.427399
14857.910156	-68.448341
14900.976563	-67.662331
14944.042969	-67.760071
14987.109375	-67.811531
15030.175781	-67.014122
15073.242188	-67.333427
15116.308594	-68.036949
15159.375000	-67.497917
15202.441406	-67.782097
15245.507813	-68.018951
15288.574219	-67.342850
15331.640625	-67.151611
15374.707031	-66.722282
15417.773438	-66.129959
15460.839844	-66.127151
15503.906250	-66.452347
15546.972656	-67.217369
15590.039063	-68.296417
15633.105469	-68.381248
15676.171875	-67.696777
15719.238281	-66.799423
15762.304688	-66.806541
15805.371094	-65.670326
15848.437500	-65.210327
15891.503906	-65.883720
15934.570313	-65.638107
15977.636719	-65.722969
16020.703125	-65.656601
16063.769531	-65.424431
16106.835938	-65.965034
16149.902344	-66.790894
16192.968750	-66.302933
16236.035156	-65.651031
16279.101563	-65.785637
16322.167969	-66.097672
16365.234375	-66.328232
16408.300781	-66.942337
16451.367188	-67.301514
16494.433594	-68.055183
16537.500000	-68.294556
16580.566406	-68.073067
16623.632813	-68.189651
16666.699219	-67.449135
16709.765625	-67.713341
16752.832031	-68.065392
16795.898438	-67.296623
16838.964844	-67.183273
16882.031250	-66.792229
16925.097656	-66.174850
16968.164063	-66.652039
17011.230469	-67.373672
17054.296875	-67.576096
17097.363281	-67.766907
17140.429688	-67.638779
17183.496094	-68.142471
17226.562500	-68.481949
17269.628906	-67.818748
17312.695313	-68.604462
17355.761719	-68.610519
17398.828125	-68.444435
17441.894531	-68.278534
17484.960938	-67.109901
17528.027344	-67.280914
17571.093750	-66.821472
17614.160156	-66.109161
17657.226563	-66.478783
17700.292969	-66.351563
17743.359375	-66.471931
17786.425781	-66.709961
17829.492188	-66.317558
17872.558594	-66.373535
17915.625000	-67.263016
17958.691406	-68.016685
18001.757813	-68.797852
18044.824219	-69.285164
18087.890625	-69.901199
18130.957031	-70.625565
18174.023438	-70.154442
18217.089844	-70.136948
18260.156250	-70.589630
18303.222656	-70.530609
18346.289063	-71.166840
18389.355469	-71.917107
18432.421875	-72.411652
18475.488281	-73.276825
18518.554688	-73.533760
18561.621094	-73.651489
18604.687500	-73.277802
18647.753906	-73.367249
18690.820313	-73.717255
18733.886719	-73.644646
18776.953125	-73.761627
18820.019531	-74.029015
18863.085938	-73.842789
18906.152344	-73.510521
18949.218750	-73.120163
18992.285156	-72.752014
19035.351563	-72.367416
19078.417969	-72.185463
19121.484375	-72.142357
19164.550781	-71.852623
19207.617188	-71.392570
19250.683594	-71.552338
19293.750000	-71.931976
19336.816406	-71.905655
19379.882813	-71.933777
19422.949219	-72.051170
19466.015625	-72.452339
19509.082031	-72.728989
19552.148438	-72.597290
19595.214844	-72.858147
19638.281250	-73.265289
19681.347656	-73.192039
19724.414063	-72.698830
19767.480469	-72.341301
19810.546875	-72.031136
19853.613281	-71.799774
19896.679688	-71.604179
19939.746094	-71.399261
19982.812500	-71.436974
20025.878906	-71.807541
20068.945313	-72.316612
20112.011719	-72.416641
20155.078125	-71.814575
20198.144531	-71.327156
20241.210938	-71.020485
20284.277344	-70.813957
20327.343750	-70.352379
20370.410156	-69.847153
20413.476563	-69.084595
20456.542969	-68.199371
20499.609375	-67.452995
20542.675781	-66.874298
20585.742188	-66.418755
20628.808594	-66.026672
20671.875000	-65.770958
20714.941406	-65.377174
20758.007813	-64.826073
20801.074219	-64.660828
20844.140625	-64.867058
20887.207031	-65.069992
20930.273438	-65.324112
20973.339844	-65.782906
21016.406250	-66.247635
21059.472656	-66.670898
21102.539063	-67.200836
21145.605469	-68.009300
21188.671875	-68.900192
21231.738281	-69.869133
21274.804688	-70.990623
21317.871094	-72.240036
21360.937500	-73.667397
21404.003906	-75.003250
21447.070313	-75.878510
21490.136719	-76.681458
21533.203125	-77.782028
21576.269531	-79.015160
21619.335938	-79.814484
21662.402344	-80.478264
21705.468750	-81.552139
21748.535156	-83.129372
21791.601563	-84.760185
21834.667969	-86.250900
21877.734375	-87.663391
21920.800781	-88.383514
21963.867188	-88.923943
22006.933594	-89.765396
